Breeding_season,Nest,Female_ID,Female_age,Clutch_size,Laying_gap,Day_of_inc,First_egg_lay_date,Inc_start_date,Obs_date,Obs_start_time,Obs_Av_daily_temp_celcius,Inc_period_length_days,Total_on_bout_duration,Total_on_bout_duration_seconds,Total_off_bout_duration,Total_obs_length_minutes,Total_obs_length_seconds,On_bout_proportion
2019/2020,BB/2,CP8272,4,4,0,3,27/10/2019,30/10/2019,02/11/2019,12:34:00,13.65576801,15,00:38:41,2321,00:13:14,78,4680,0.495940171
2019/2020,BB/2,CP8272,4,4,0,8,27/10/2019,30/10/2019,06/11/2019,13:13:40,16.74275963,15,00:18:04,1084,00:26:53,61,3660,0.296174863
2019/2020,DB/4,CP11804,3,5,0,1,27/11/2019,01/12/2019,01/12/2019,14:12:12,18.18570867,14,00:25:50,1550,00:06:01,22,1320,1.174242424
2019/2020,DB/4,CP11804,3,5,0,7,27/11/2019,01/12/2019,08/12/2019,12:05:45,19.42009269,14,00:00:00,0,00:04:13,63,3780,0
2019/2020,FB/1,CP8214,4,4,0,1,10/11/2019,13/11/2019,14/11/2019,12:08:00,16.09596223,14,00:11:52,712,00:32:30,61,3660,0.194535519
2019/2020,FB/1,CP8214,4,4,0,7,10/11/2019,13/11/2019,20/11/2019,16:48:00,13.51665639,14,00:05:15,315,00:17:31,62,3720,0.084677419
2019/2020,FB/1,CP8214,4,4,0,13,10/11/2019,13/11/2019,26/11/2019,12:13:00,16.66493324,14,00:04:22,262,00:13:51,19,1140,0.229824561
2019/2020,FB/4,CP13474,1,4,0,1,09/11/2019,12/11/2019,13/11/2019,15:18:10,11.94487338,15,01:11:49,4309,00:26:06,73,4380,0.983789954
2019/2020,FB/4,CP13474,1,4,0,8,09/11/2019,12/11/2019,21/11/2019,12:04:47,16.25176913,15,00:09:48,588,00:28:46,56,3360,0.175
2019/2020,FL/2,CP8157,5,4,0,1,19/11/2019,22/11/2019,23/11/2019,15:08:11,15.55377768,14,00:12:41,761,00:01:55,65,3900,0.195128205
2019/2020,FL/4,C94406,6,5,0,1,15/11/2019,19/11/2019,19/11/2019,13:51:00,14.97497913,15,00:05:10,310,00:27:27,60,3600,0.086111111
2019/2020,FL/4,C94406,6,5,0,7,15/11/2019,19/11/2019,26/11/2019,12:46:00,16.66493324,15,00:00:00,0,00:06:00,27,1620,0
2019/2020,KB/1,C94466,6,5,0,1,23/11/2019,27/11/2019,27/11/2019,17:30:15,17.28785701,14,00:00:00,0,00:05:10,36,2160,0
2019/2020,KB/1,C94466,6,5,0,7,23/11/2019,27/11/2019,03/12/2019,12:41:26,18.24499931,14,00:00:00,0,00:06:12,83,4980,0
2019/2020,KB/1,C94466,6,5,0,13,23/11/2019,27/11/2019,09/12/2019,09:48:20,17.95104454,14,00:08:27,507,00:04:49,63,3780,0.134126984
2019/2020,LHV/2,CP12905,2,4,0,1,03/12/2019,06/12/2019,07/12/2019,15:30:54,18.18735825,14,00:00:00,0,00:08:27,60,3600,0
2019/2020,LHV/4,CP13084,1,4,1,1,15/11/2019,19/11/2019,20/11/2019,13:46:21,13.51665639,15,00:04:52,292,00:26:29,58,3480,0.083908046
2019/2020,LHV/4,CP13084,1,4,1,13,15/11/2019,19/11/2019,02/12/2019,10:35:07,18.22854904,15,00:55:45,3345,00:00:00,65,3900,0.857692308
2019/2020,SC/4,CP13047,1,4,0,1,20/11/2019,23/11/2019,24/11/2019,14:59:20,16.77855774,15,00:21:33,1293,00:00:00,17,1020,1.267647059
2019/2020,SC/4,CP13047,1,4,0,13,20/11/2019,23/11/2019,05/12/2019,14:49:02,17.28930305,15,00:25:58,1558,00:13:57,63,3780,0.412169312
2019/2020,SD/3,CP8238,4,5,0,1,10/11/2019,14/11/2019,14/11/2019,16:39:39,16.09596223,14,00:01:55,115,00:02:07,60,3600,0.031944444
2019/2020,SD/3,CP8238,4,5,0,7,10/11/2019,14/11/2019,21/11/2019,13:43:35,16.25176913,14,00:04:39,279,00:10:44,15.38333333,923,0.30227519
2019/2020,SD/3,CP8238,4,5,0,13,10/11/2019,14/11/2019,27/11/2019,09:43:57,17.28785701,14,01:40:59,6059,00:00:00,57,3420,1.771637427
2019/2020,SD/5,CP11820,3,4,0,7,31/10/2019,03/11/2019,10/11/2019,13:33:18,17.61817244,14,00:02:35,155,00:01:20,60,3600,0.043055556
2019/2020,SV/2,CP13016,2,4,0,1,03/11/2019,06/11/2019,07/11/2019,15:22:00,17.67597239,14,00:05:09,309,00:33:34,61,3660,0.08442623
2019/2020,SV/2,CP13016,2,4,0,2,03/11/2019,06/11/2019,07/11/2019,15:22:00,17.67597239,14,00:35:00,2100,00:11:00,65.36666667,3922,0.535441101
2019/2020,SV/2,CP13016,2,4,0,7,03/11/2019,06/11/2019,13/11/2019,08:40:22,11.94487338,14,00:11:16,676,00:13:42,63,3780,0.178835979
2019/2020,SV/2,CP13016,2,4,0,13,03/11/2019,06/11/2019,19/11/2019,10:59:10,14.97497913,14,00:22:01,1321,00:15:34,68,4080,0.32377451
2019/2020,WR/1,CP8270,4,5,0,1,05/11/2019,09/11/2019,09/11/2019,13:20:19,17.76429002,14,00:18:44,1124,00:29:00,60,3600,0.312222222
2019/2020,WV/11,CP5099,6,4,1,1,17/11/2019,21/11/2019,22/11/2019,14:49:40,14.40416606,N/A,00:11:18,678,00:17:38,60,3600,0.188333333
